time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542491.5639155,-2.59,-3.64,9.48,0.5633333333333334,-0.4122222222222222,-0.5333333333333333,-1.625,5.1875,-128.8125
1589542491.5779667,-2.48,-3.5,9.28,0.5633333333333334,-0.4122222222222222,-0.5333333333333333,-3.6875,3.0,-123.4375
1589542491.5839148,-2.16,-3.18,8.74,0.5633333333333334,-0.4122222222222222,-0.5333333333333333,-0.5625,7.8125,-114.375
1589542491.597493,-2.29,-3.56,9.29,0.5633333333333334,-0.4122222222222222,-0.5333333333333333,0.3125,5.0,-106.375
1589542491.606141,-2.19,-3.26,8.4,0.5633333333333334,-0.4122222222222222,-0.5333333333333333,0.0,5.3125,-98.1875
1589542491.6137025,-2.0,-3.27,8.8,1.3877777777777778,-0.3111111111111111,0.1955555555555556,-1.9375,7.3125,-89.5625
1589542491.6206186,-2.0,-3.27,8.8,1.3877777777777778,-0.3111111111111111,0.1955555555555556,-1.9375,7.3125,-89.5625
1589542491.6270945,-1.97,-3.31,8.51,1.3877777777777778,-0.3111111111111111,0.1955555555555556,-1.75,1.1875,-82.1875
1589542491.637917,-1.86,-3.28,9.07,1.3877777777777778,-0.3111111111111111,0.1955555555555556,-3.0625,-0.5625,-75.25
1589542491.646653,-1.76,-3.14,8.06,1.3877777777777778,-0.3111111111111111,0.1955555555555556,0.0,4.375,-68.0625
1589542491.6564019,-1.71,-3.3,9.56,1.3877777777777778,-0.3111111111111111,0.1955555555555556,-2.6875,-0.875,-65.8125
1589542491.6642365,-1.66,-3.31,8.28,0.8566666666666667,0.06333333333333334,-0.6766666666666666,-0.5625,3.25,-63.875
1589542491.6764915,-1.49,-3.3,8.77,0.8566666666666667,0.06333333333333334,-0.6766666666666666,1.25,6.5,-63.5625
1589542491.6855974,-1.18,-3.21,9.16,0.8566666666666667,0.06333333333333334,-0.6766666666666666,0.25,3.5,-65.5625
1589542491.6979804,-1.18,-3.11,8.3,0.8566666666666667,0.06333333333333334,-0.6766666666666666,0.125,2.5625,-70.3125
1589542491.706881,-1.23,-3.3,10.22,0.8566666666666667,0.06333333333333334,-0.6766666666666666,-2.9375,-0.875,-75.125
1589542491.7147374,-1.24,-3.14,8.25,0.6144444444444445,0.09777777777777777,-0.7033333333333334,1.5625,2.6875,-77.5625
1589542491.7290006,-1.1,-2.7,8.02,0.6144444444444445,0.09777777777777777,-0.7033333333333334,-1.1875,7.8125,-79.3125
1589542491.7352738,-1.27,-3.53,9.12,0.6144444444444445,0.09777777777777777,-0.7033333333333334,-4.5,1.0625,-81.6875
